frame trackId x y sceneId metaId
10008 0 225.0 1055.0 bookstore_0 0
10020 0 221.0 1057.0 bookstore_0 0
10032 0 219.0 1060.0 bookstore_0 0
10044 0 217.0 1062.5 bookstore_0 0
10056 0 213.0 1065.0 bookstore_0 0
10068 0 217.0 1058.0 bookstore_0 0
10080 0 235.0 1026.0 bookstore_0 0
10092 0 258.5 999.0 bookstore_0 0
10104 0 302.0 972.0 bookstore_0 0
10116 0 318.0 958.0 bookstore_0 0
10128 0 351.5 945.0 bookstore_0 0
10140 0 385.0 931.0 bookstore_0 0
10152 0 411.0 922.0 bookstore_0 0
10164 0 462.5 909.5 bookstore_0 0
10176 0 501.0 906.0 bookstore_0 0
10188 0 538.5 904.0 bookstore_0 0
10200 0 577.0 897.0 bookstore_0 0
10212 0 616.5 895.0 bookstore_0 0
10224 0 656.0 892.5 bookstore_0 0
10236 0 698.0 890.0 bookstore_0 0
9504 1 1403.0 629.5 bookstore_0 1
9516 1 1403.0 629.5 bookstore_0 1
9528 1 1403.0 629.5 bookstore_0 1
9540 1 1403.0 629.5 bookstore_0 1
9552 1 1403.0 629.5 bookstore_0 1
9564 1 1403.0 629.5 bookstore_0 1
9576 1 1403.0 629.5 bookstore_0 1
9588 1 1403.0 629.5 bookstore_0 1
9600 1 1403.0 629.5 bookstore_0 1
9612 1 1403.0 629.5 bookstore_0 1
9624 1 1403.0 629.5 bookstore_0 1
9636 1 1403.0 629.5 bookstore_0 1
9648 1 1403.0 629.5 bookstore_0 1
9660 1 1403.0 629.5 bookstore_0 1
9672 1 1403.0 629.5 bookstore_0 1
9684 1 1403.0 629.5 bookstore_0 1
9696 1 1403.0 629.5 bookstore_0 1
9708 1 1403.0 629.5 bookstore_0 1
9720 1 1403.0 629.5 bookstore_0 1
9732 1 1403.0 629.5 bookstore_0 1
9000 8 236.0 1044.5 bookstore_0 2
9012 8 234.0 1044.5 bookstore_0 2
9024 8 232.0 1047.0 bookstore_0 2
9036 8 230.0 1047.0 bookstore_0 2
9048 8 228.0 1049.0 bookstore_0 2
9060 8 228.0 1049.0 bookstore_0 2
9072 8 226.0 1051.0 bookstore_0 2
9084 8 224.0 1051.0 bookstore_0 2
9096 8 222.0 1053.5 bookstore_0 2
9108 8 220.0 1053.5 bookstore_0 2
9120 8 220.0 1056.0 bookstore_0 2
9132 8 239.5 1038.0 bookstore_0 2
9144 8 267.5 1004.0 bookstore_0 2
9156 8 301.0 974.0 bookstore_0 2
9168 8 340.5 947.0 bookstore_0 2
9180 8 382.5 936.0 bookstore_0 2
9192 8 423.5 927.0 bookstore_0 2
9204 8 465.5 920.0 bookstore_0 2
9216 8 510.5 915.0 bookstore_0 2
9228 8 558.5 911.0 bookstore_0 2
9504 9 1404.0 601.0 bookstore_0 3
9516 9 1404.0 601.0 bookstore_0 3
9528 9 1404.0 601.0 bookstore_0 3
9540 9 1404.0 601.0 bookstore_0 3
9552 9 1404.0 601.0 bookstore_0 3
9564 9 1404.0 601.0 bookstore_0 3
9576 9 1404.0 601.0 bookstore_0 3
9588 9 1404.0 601.0 bookstore_0 3
9600 9 1404.0 601.0 bookstore_0 3
9612 9 1404.0 601.0 bookstore_0 3
9624 9 1404.0 601.0 bookstore_0 3
9636 9 1404.0 601.0 bookstore_0 3
9648 9 1404.0 601.0 bookstore_0 3
9660 9 1404.0 601.0 bookstore_0 3
9672 9 1404.0 601.0 bookstore_0 3
9684 9 1404.0 601.0 bookstore_0 3
9696 9 1404.0 601.0 bookstore_0 3
9708 9 1404.0 601.0 bookstore_0 3
9720 9 1404.0 601.0 bookstore_0 3
9732 9 1404.0 601.0 bookstore_0 3
4500 12 1393.0 633.0 bookstore_0 4
4512 12 1393.0 633.0 bookstore_0 4
4524 12 1393.0 633.0 bookstore_0 4
4536 12 1393.0 633.0 bookstore_0 4
4548 12 1393.0 633.0 bookstore_0 4
4560 12 1393.0 633.0 bookstore_0 4
4572 12 1393.0 633.0 bookstore_0 4
4584 12 1393.0 633.0 bookstore_0 4
4596 12 1393.0 633.0 bookstore_0 4
4608 12 1393.0 633.0 bookstore_0 4
4620 12 1393.0 633.0 bookstore_0 4
4632 12 1393.0 633.0 bookstore_0 4
4644 12 1393.0 633.0 bookstore_0 4
4656 12 1393.0 633.0 bookstore_0 4
4668 12 1393.0 633.0 bookstore_0 4
4680 12 1393.0 633.0 bookstore_0 4
4692 12 1393.0 633.0 bookstore_0 4
4704 12 1393.0 633.0 bookstore_0 4
4716 12 1393.0 633.0 bookstore_0 4
4728 12 1393.0 633.0 bookstore_0 4
11004 29 580.0 918.5 bookstore_0 5
11016 29 635.5 918.5 bookstore_0 5
11028 29 690.5 918.5 bookstore_0 5
11040 29 744.5 909.5 bookstore_0 5
11052 29 795.5 896.0 bookstore_0 5
11064 29 843.0 882.5 bookstore_0 5
11076 29 897.5 862.0 bookstore_0 5
11088 29 945.0 837.5 bookstore_0 5
11100 29 986.5 814.5 bookstore_0 5
11112 29 1034.0 789.5 bookstore_0 5
11124 29 1081.5 769.5 bookstore_0 5
11136 29 1123.0 750.5 bookstore_0 5
11148 29 1172.5 741.5 bookstore_0 5
11160 29 1213.5 721.5 bookstore_0 5
11172 29 1267.5 714.5 bookstore_0 5
11184 29 1314.5 716.5 bookstore_0 5
11196 29 1365.5 714.5 bookstore_0 5
11208 29 1408.0 713.5 bookstore_0 5
11220 29 1408.0 713.5 bookstore_0 5
11232 29 1408.0 713.5 bookstore_0 5
7500 34 1391.0 628.5 bookstore_0 6
