frame trackId x y sceneId metaId
6240 190 193.5 1048.0 bookstore_0 0
6252 190 204.5 1022.0 bookstore_0 0
6264 190 226.5 996.5 bookstore_0 0
6276 190 252.5 978.5 bookstore_0 0
6288 190 276.5 958.5 bookstore_0 0
6300 190 302.5 940.5 bookstore_0 0
6312 190 327.5 924.5 bookstore_0 0
6324 190 359.5 917.5 bookstore_0 0
6336 190 389.5 910.5 bookstore_0 0
6348 190 418.5 903.5 bookstore_0 0
6360 190 450.5 899.5 bookstore_0 0
6372 190 482.5 894.5 bookstore_0 0
6384 190 515.5 894.5 bookstore_0 0
6396 190 549.5 894.5 bookstore_0 0
6408 190 583.5 894.5 bookstore_0 0
6420 190 623.5 890.5 bookstore_0 0
6432 190 663.5 881.5 bookstore_0 0
6444 190 698.5 879.0 bookstore_0 0
6456 190 728.5 879.0 bookstore_0 0
6468 190 757.5 879.0 bookstore_0 0
5064 257 1360.5 844.5 bookstore_1 1
5076 257 1361.5 848.0 bookstore_1 1
5088 257 1353.5 856.0 bookstore_1 1
5100 257 1316.0 876.0 bookstore_1 1
5112 257 1276.5 896.5 bookstore_1 1
5124 257 1239.0 923.5 bookstore_1 1
5136 257 1201.5 950.5 bookstore_1 1
5148 257 1161.5 975.0 bookstore_1 1
5160 257 1122.5 991.0 bookstore_1 1
5172 257 1082.5 1006.5 bookstore_1 1
5184 257 1041.5 1015.5 bookstore_1 1
5196 257 998.0 1022.5 bookstore_1 1
5208 257 956.5 1027.0 bookstore_1 1
5220 257 917.0 1024.5 bookstore_1 1
5232 257 877.5 1022.5 bookstore_1 1
5244 257 838.0 1022.5 bookstore_1 1
5256 257 800.5 1022.5 bookstore_1 1
5268 257 761.0 1022.5 bookstore_1 1
5280 257 721.5 1027.0 bookstore_1 1
5292 257 680.0 1031.5 bookstore_1 1
5172 21 432.5 1042.5 bookstore_2 2
5184 21 432.5 1031.0 bookstore_2 2
5196 21 434.5 1021.0 bookstore_2 2
5208 21 435.5 999.5 bookstore_2 2
5220 21 435.5 975.5 bookstore_2 2
5232 21 435.5 950.5 bookstore_2 2
5244 21 435.5 925.5 bookstore_2 2
5256 21 435.5 900.5 bookstore_2 2
5268 21 435.5 876.5 bookstore_2 2
5280 21 435.5 851.5 bookstore_2 2
5292 21 435.5 826.5 bookstore_2 2
5304 21 435.5 802.0 bookstore_2 2
5316 21 435.5 777.5 bookstore_2 2
5328 21 435.5 752.5 bookstore_2 2
5340 21 435.5 730.0 bookstore_2 2
5352 21 435.5 705.5 bookstore_2 2
5364 21 437.5 678.5 bookstore_2 2
5376 21 437.5 649.0 bookstore_2 2
5388 21 437.5 620.0 bookstore_2 2
5400 21 439.5 590.5 bookstore_2 2
5100 25 1325.5 21.0 bookstore_2 3
5112 25 1282.5 26.5 bookstore_2 3
5124 25 1246.5 48.0 bookstore_2 3
5136 25 1207.0 70.5 bookstore_2 3
5148 25 1164.0 95.0 bookstore_2 3
5160 25 1118.5 113.0 bookstore_2 3
5172 25 1075.0 122.0 bookstore_2 3
5184 25 1031.5 133.5 bookstore_2 3
5196 25 992.0 144.5 bookstore_2 3
5208 25 954.5 154.5 bookstore_2 3
5220 25 915.0 156.5 bookstore_2 3
5232 25 873.5 156.5 bookstore_2 3
5244 25 834.0 159.5 bookstore_2 3
5256 25 794.5 159.5 bookstore_2 3
5268 25 755.0 159.5 bookstore_2 3
5280 25 713.5 161.5 bookstore_2 3
5292 25 674.0 161.5 bookstore_2 3
5304 25 636.5 163.5 bookstore_2 3
5316 25 601.0 168.5 bookstore_2 3
5328 25 565.5 172.5 bookstore_2 3
9108 55 1363.5 28.0 bookstore_2 4
9120 55 1365.5 24.5 bookstore_2 4
9132 55 1317.0 30.0 bookstore_2 4
9144 55 1300.0 35.5 bookstore_2 4
9156 55 1270.5 51.0 bookstore_2 4
9168 55 1241.0 66.5 bookstore_2 4
9180 55 1211.0 84.5 bookstore_2 4
9192 55 1183.5 100.5 bookstore_2 4
9204 55 1160.0 110.5 bookstore_2 4
9216 55 1136.0 122.0 bookstore_2 4
9228 55 1104.5 132.0 bookstore_2 4
9240 55 1071.0 139.0 bookstore_2 4
9252 55 1035.5 148.0 bookstore_2 4
9264 55 1009.5 150.0 bookstore_2 4
9276 55 982.0 154.5 bookstore_2 4
9288 55 950.5 157.0 bookstore_2 4
9300 55 917.0 157.0 bookstore_2 4
9312 55 883.5 159.0 bookstore_2 4
9324 55 859.5 159.0 bookstore_2 4
9336 55 830.0 161.5 bookstore_2 4
3096 88 28.5 525.5 bookstore_2 5
3108 88 39.5 511.0 bookstore_2 5
3120 88 60.5 494.0 bookstore_2 5
3132 88 90.5 478.5 bookstore_2 5
3144 88 121.5 465.0 bookstore_2 5
3156 88 157.5 453.5 bookstore_2 5
3168 88 189.5 449.0 bookstore_2 5
3180 88 218.5 447.0 bookstore_2 5
3192 88 244.5 444.5 bookstore_2 5
3204 88 271.5 448.0 bookstore_2 5
3216 88 296.5 464.0 bookstore_2 5
3228 88 322.5 479.5 bookstore_2 5
3240 88 343.5 498.5 bookstore_2 5
3252 88 355.0 525.5 bookstore_2 5
3264 88 363.0 552.5 bookstore_2 5
3276 88 366.5 586.0 bookstore_2 5
3288 88 368.5 624.5 bookstore_2 5
3300 88 368.5 665.0 bookstore_2 5
3312 88 368.5 705.5 bookstore_2 5
3324 88 368.5 741.5 bookstore_2 5
11652 29 1262.0 940.0 bookstore_3 6
11664 29 1260.0 939.0 bookstore_3 6
11676 29 1258.0 937.0 bookstore_3 6
11688 29 1234.5 929.0 bookstore_3 6
11700 29 1196.0 917.0 bookstore_3 6
11712 29 1158.0 905.0 bookstore_3 6
11724 29 1119.5 895.0 bookstore_3 6
11736 29 1083.0 891.0 bookstore_3 6
11748 29 1046.0 886.0 bookstore_3 6
11760 29 1004.0 879.5 bookstore_3 6
11772 29 963.5 875.0 bookstore_3 6
11784 29 925.0 873.0 bookstore_3 6
11796 29 888.0 870.5 bookstore_3 6
11808 29 850.0 866.0 bookstore_3 6
11820 29 811.0 864.0 bookstore_3 6
11832 29 772.5 859.0 bookstore_3 6
11844 29 732.0 859.0 bookstore_3 6
11856 29 692.0 859.0 bookstore_3 6
11868 29 651.0 857.0 bookstore_3 6
11880 29 611.0 857.0 bookstore_3 6
5856 208 14.5 1002.5 bookstore_3 7
5868 208 20.5 999.5 bookstore_3 7
5880 208 26.0 997.5 bookstore_3 7
5892 208 44.5 990.5 bookstore_3 7
5904 208 77.5 977.5 bookstore_3 7
5916 208 108.5 963.5 bookstore_3 7
5928 208 140.0 950.5 bookstore_3 7
5940 208 173.0 936.5 bookstore_3 7
5952 208 204.5 934.5 bookstore_3 7
5964 208 235.5 932.5 bookstore_3 7
5976 208 266.5 930.5 bookstore_3 7
5988 208 297.5 927.5 bookstore_3 7
6000 208 329.0 927.5 bookstore_3 7
6012 208 361.0 923.5 bookstore_3 7
6024 208 394.5 921.5 bookstore_3 7
6036 208 426.5 918.5 bookstore_3 7
6048 208 459.5 914.5 bookstore_3 7
6060 208 492.5 912.5 bookstore_3 7
6072 208 525.0 909.5 bookstore_3 7
6084 208 557.5 907.5 bookstore_3 7
8544 274 1224.0 73.5 bookstore_3 8
8556 274 1224.0 116.5 bookstore_3 8
8568 274 1226.0 159.0 bookstore_3 8
8580 274 1226.0 202.0 bookstore_3 8
8592 274 1228.0 244.5 bookstore_3 8
8604 274 1228.0 287.0 bookstore_3 8
8616 274 1228.0 328.0 bookstore_3 8
8628 274 1226.0 363.5 bookstore_3 8
8640 274 1224.0 402.0 bookstore_3 8
8652 274 1220.5 438.0 bookstore_3 8
8664 274 1219.0 474.0 bookstore_3 8
8676 274 1217.0 510.0 bookstore_3 8
8688 274 1217.0 541.0 bookstore_3 8
8700 274 1215.0 575.0 bookstore_3 8
8712 274 1213.0 608.5 bookstore_3 8
8724 274 1211.0 642.5 bookstore_3 8
8736 274 1211.0 674.0 bookstore_3 8
8748 274 1204.0 703.0 bookstore_3 8
8760 274 1193.0 725.5 bookstore_3 8
8772 274 1182.0 748.0 bookstore_3 8
0 121 551.0 675.5 deathCircle_0 9
12 121 551.0 675.5 deathCircle_0 9
24 121 551.0 675.5 deathCircle_0 9
36 121 551.0 675.5 deathCircle_0 9
48 121 551.0 675.5 deathCircle_0 9
60 121 551.0 675.5 deathCircle_0 9
72 121 551.0 675.5 deathCircle_0 9
84 121 551.0 675.5 deathCircle_0 9
96 121 551.0 675.5 deathCircle_0 9
108 121 551.0 675.5 deathCircle_0 9
