frame trackId x y sceneId metaId
3972 4 362.5 26.0 coupa_0 0
3984 4 346.0 26.0 coupa_0 0
3996 4 324.0 25.0 coupa_0 0
4008 4 306.5 27.0 coupa_0 0
4020 4 291.0 32.5 coupa_0 0
4032 4 277.5 37.0 coupa_0 0
4044 4 265.0 42.5 coupa_0 0
4056 4 251.0 48.5 coupa_0 0
4068 4 236.0 53.0 coupa_0 0
4080 4 219.5 55.5 coupa_0 0
4092 4 203.0 57.5 coupa_0 0
4104 4 186.5 62.5 coupa_0 0
4116 4 167.5 64.5 coupa_0 0
4128 4 151.0 66.5 coupa_0 0
4140 4 134.5 68.5 coupa_0 0
4152 4 118.0 71.5 coupa_0 0
4164 4 98.5 73.5 coupa_0 0
4176 4 79.5 73.5 coupa_0 0
4188 4 60.0 75.5 coupa_0 0
4200 4 41.0 78.5 coupa_0 0
312 5 1608.0 326.5 coupa_0 1
324 5 1608.0 326.5 coupa_0 1
336 5 1608.0 326.5 coupa_0 1
348 5 1608.0 326.5 coupa_0 1
360 5 1608.0 326.5 coupa_0 1
372 5 1608.0 326.5 coupa_0 1
384 5 1608.0 326.5 coupa_0 1
396 5 1608.0 326.5 coupa_0 1
408 5 1608.0 326.5 coupa_0 1
420 5 1608.0 326.5 coupa_0 1
432 5 1608.0 326.5 coupa_0 1
444 5 1608.0 326.5 coupa_0 1
456 5 1608.0 326.5 coupa_0 1
468 5 1608.0 326.5 coupa_0 1
480 5 1608.0 326.5 coupa_0 1
492 5 1608.0 326.5 coupa_0 1
504 5 1607.0 324.0 coupa_0 1
516 5 1607.0 324.0 coupa_0 1
528 5 1607.0 324.0 coupa_0 1
540 5 1605.5 324.0 coupa_0 1
3696 6 1352.5 28.0 coupa_0 2
3708 6 1344.5 32.5 coupa_0 2
3720 6 1336.0 43.5 coupa_0 2
3732 6 1325.0 59.5 coupa_0 2
3744 6 1314.0 75.5 coupa_0 2
3756 6 1300.5 89.5 coupa_0 2
3768 6 1284.0 105.5 coupa_0 2
3780 6 1267.5 121.5 coupa_0 2
3792 6 1251.0 137.5 coupa_0 2
3804 6 1231.5 150.5 coupa_0 2
3816 6 1212.5 162.5 coupa_0 2
3828 6 1190.5 176.0 coupa_0 2
3840 6 1168.5 187.5 coupa_0 2
3852 6 1143.5 196.5 coupa_0 2
3864 6 1121.5 205.5 coupa_0 2
3876 6 1097.0 214.5 coupa_0 2
3888 6 1075.0 221.5 coupa_0 2
3900 6 1055.5 228.5 coupa_0 2
3912 6 1033.5 235.5 coupa_0 2
3924 6 1006.0 235.5 coupa_0 2
1500 7 1064.0 50.0 coupa_0 3
1512 7 1055.5 50.0 coupa_0 3
1524 7 1050.0 52.0 coupa_0 3
1536 7 1044.5 54.0 coupa_0 3
1548 7 1036.5 56.0 coupa_0 3
1560 7 1031.0 59.0 coupa_0 3
1572 7 1031.0 59.0 coupa_0 3
1584 7 1031.0 59.0 coupa_0 3
1596 7 1031.0 59.0 coupa_0 3
1608 7 1028.0 61.0 coupa_0 3
1620 7 1028.0 61.0 coupa_0 3
1632 7 1028.0 61.0 coupa_0 3
1644 7 1025.5 61.0 coupa_0 3
1656 7 1025.5 61.0 coupa_0 3
1668 7 1025.5 63.0 coupa_0 3
1680 7 1022.5 63.0 coupa_0 3
1692 7 1022.5 63.0 coupa_0 3
1704 7 1022.5 63.0 coupa_0 3
1716 7 1022.5 65.5 coupa_0 3
1728 7 1020.0 65.5 coupa_0 3
1920 10 894.5 31.5 coupa_0 4
1932 10 886.5 47.5 coupa_0 4
1944 10 878.5 60.5 coupa_0 4
1956 10 867.5 72.5 coupa_0 4
1968 10 853.5 83.5 coupa_0 4
1980 10 839.5 92.5 coupa_0 4
1992 10 826.0 104.5 coupa_0 4
2004 10 811.0 111.5 coupa_0 4
2016 10 794.0 115.5 coupa_0 4
2028 10 778.0 119.0 coupa_0 4
2040 10 761.0 123.5 coupa_0 4
2052 10 745.0 127.5 coupa_0 4
2064 10 728.0 130.5 coupa_0 4
2076 10 712.0 135.0 coupa_0 4
2088 10 695.0 139.5 coupa_0 4
2100 10 679.0 143.0 coupa_0 4
2112 10 662.5 147.5 coupa_0 4
2124 10 646.0 152.0 coupa_0 4
2136 10 629.5 154.5 coupa_0 4
2148 10 613.0 159.0 coupa_0 4
4080 11 1891.5 834.0 coupa_0 5
4092 11 1896.0 834.0 coupa_0 5
4104 11 1882.0 838.5 coupa_0 5
4116 11 1871.0 845.5 coupa_0 5
4128 11 1868.0 859.0 coupa_0 5
4140 11 1868.0 861.5 coupa_0 5
4152 11 1854.5 895.5 coupa_0 5
4164 11 1849.0 916.0 coupa_0 5
4176 11 1849.0 929.5 coupa_0 5
4188 11 1858.5 945.5 coupa_0 5
4200 11 1850.5 961.5 coupa_0 5
4212 11 1869.5 975.0 coupa_0 5
4224 11 1869.5 991.0 coupa_0 5
4236 11 1872.5 1009.5 coupa_0 5
4248 11 1878.0 1021.0 coupa_0 5
4260 11 1883.5 1023.0 coupa_0 5
4272 11 1878.0 1025.5 coupa_0 5
