frame trackId x y sceneId metaId
10008 0 30.0 30.5 coupa_0 0
10020 0 28.5 30.5 coupa_0 0
10032 0 28.5 30.5 coupa_0 0
10044 0 27.5 30.5 coupa_0 0
10056 0 26.0 30.5 coupa_0 0
10068 0 26.0 30.5 coupa_0 0
10080 0 24.5 30.5 coupa_0 0
10092 0 23.0 30.5 coupa_0 0
10104 0 23.0 30.5 coupa_0 0
10116 0 22.0 30.5 coupa_0 0
10128 0 20.5 30.5 coupa_0 0
10140 0 20.5 30.5 coupa_0 0
10152 0 19.0 30.5 coupa_0 0
10164 0 26.0 29.5 coupa_0 0
10176 0 53.5 29.5 coupa_0 0
10188 0 93.0 15.5 coupa_0 0
10200 0 107.0 11.0 coupa_0 0
10212 0 107.0 11.0 coupa_0 0
10224 0 107.0 11.0 coupa_0 0
10236 0 107.0 11.0 coupa_0 0
4008 1 247.0 35.0 coupa_0 1
4020 1 255.5 29.0 coupa_0 1
4032 1 261.0 23.5 coupa_0 1
4044 1 247.0 23.5 coupa_0 1
4056 1 236.0 23.5 coupa_0 1
4068 1 225.0 23.5 coupa_0 1
4080 1 214.0 26.0 coupa_0 1
4092 1 192.0 28.0 coupa_0 1
4104 1 173.0 30.0 coupa_0 1
4116 1 153.5 30.0 coupa_0 1
4128 1 134.5 30.0 coupa_0 1
4140 1 115.0 30.0 coupa_0 1
4152 1 93.0 32.5 coupa_0 1
4164 1 71.0 37.0 coupa_0 1
4176 1 54.5 39.0 coupa_0 1
4188 1 41.0 39.0 coupa_0 1
4200 1 33.0 37.0 coupa_0 1
4212 1 33.0 37.0 coupa_0 1
4224 1 33.0 37.0 coupa_0 1
4236 1 33.0 37.0 coupa_0 1
3504 2 1502.5 1026.5 coupa_0 2
3516 2 1505.0 1024.0 coupa_0 2
3528 2 1508.0 1024.0 coupa_0 2
3540 2 1508.0 1022.0 coupa_0 2
3552 2 1511.0 1019.5 coupa_0 2
3564 2 1513.5 1017.5 coupa_0 2
3576 2 1513.5 1013.0 coupa_0 2
3588 2 1513.5 1004.0 coupa_0 2
3600 2 1511.0 994.5 coupa_0 2
3612 2 1508.0 985.5 coupa_0 2
3624 2 1508.0 976.5 coupa_0 2
3636 2 1505.0 969.5 coupa_0 2
3648 2 1505.0 960.5 coupa_0 2
3660 2 1508.0 953.5 coupa_0 2
3672 2 1511.0 944.5 coupa_0 2
3684 2 1513.5 935.5 coupa_0 2
3696 2 1516.0 928.5 coupa_0 2
3708 2 1519.0 919.5 coupa_0 2
3720 2 1524.5 912.5 coupa_0 2
3732 2 1527.0 885.0 coupa_0 2
3504 3 101.5 22.5 coupa_0 3
3516 3 101.5 22.5 coupa_0 3
3528 3 101.5 22.5 coupa_0 3
3540 3 101.5 22.5 coupa_0 3
3552 3 101.5 22.5 coupa_0 3
3564 3 101.5 22.5 coupa_0 3
3576 3 101.5 22.5 coupa_0 3
3588 3 101.5 22.5 coupa_0 3
3600 3 101.5 22.5 coupa_0 3
3612 3 101.5 22.5 coupa_0 3
3624 3 101.5 22.5 coupa_0 3
3636 3 101.5 22.5 coupa_0 3
3648 3 101.5 22.5 coupa_0 3
3660 3 101.5 22.5 coupa_0 3
3672 3 101.5 22.5 coupa_0 3
