frame trackId x y sceneId metaId
10008 0 30.0 30.5 coupa_0 0
10020 0 28.5 30.5 coupa_0 0
10032 0 28.5 30.5 coupa_0 0
10044 0 27.5 30.5 coupa_0 0
10056 0 26.0 30.5 coupa_0 0
10068 0 26.0 30.5 coupa_0 0
10080 0 24.5 30.5 coupa_0 0
10092 0 23.0 30.5 coupa_0 0
10104 0 23.0 30.5 coupa_0 0
10116 0 22.0 30.5 coupa_0 0
10128 0 20.5 30.5 coupa_0 0
10140 0 20.5 30.5 coupa_0 0
10152 0 19.0 30.5 coupa_0 0
10164 0 26.0 29.5 coupa_0 0
10176 0 53.5 29.5 coupa_0 0
10188 0 93.0 15.5 coupa_0 0
10200 0 107.0 11.0 coupa_0 0
10212 0 107.0 11.0 coupa_0 0
10224 0 107.0 11.0 coupa_0 0
10236 0 107.0 11.0 coupa_0 0
3504 2 1502.5 1026.5 coupa_0 1
3516 2 1505.0 1024.0 coupa_0 1
3528 2 1508.0 1024.0 coupa_0 1
3540 2 1508.0 1022.0 coupa_0 1
3552 2 1511.0 1019.5 coupa_0 1
3564 2 1513.5 1017.5 coupa_0 1
3576 2 1513.5 1013.0 coupa_0 1
3588 2 1513.5 1004.0 coupa_0 1
3600 2 1511.0 994.5 coupa_0 1
3612 2 1508.0 985.5 coupa_0 1
3624 2 1508.0 976.5 coupa_0 1
3636 2 1505.0 969.5 coupa_0 1
3648 2 1505.0 960.5 coupa_0 1
3660 2 1508.0 953.5 coupa_0 1
3672 2 1511.0 944.5 coupa_0 1
3684 2 1513.5 935.5 coupa_0 1
3696 2 1516.0 928.5 coupa_0 1
3708 2 1519.0 919.5 coupa_0 1
3720 2 1524.5 912.5 coupa_0 1
3732 2 1527.0 885.0 coupa_0 1
3000 9 1967.5 253.5 coupa_0 2
3012 9 1962.0 251.0 coupa_0 2
3024 9 1958.0 250.0 coupa_0 2
3036 9 1954.5 247.5 coupa_0 2
3048 9 1950.5 246.5 coupa_0 2
3060 9 1948.0 245.5 coupa_0 2
3072 9 1852.0 247.5 coupa_0 2
3084 9 1771.0 240.5 coupa_0 2
3096 9 1691.0 234.0 coupa_0 2
3108 9 1611.0 224.5 coupa_0 2
3120 9 1529.0 213.5 coupa_0 2
3132 9 1353.0 202.5 coupa_0 2
3144 9 1375.0 209.0 coupa_0 2
3156 9 1292.0 193.0 coupa_0 2
3168 9 1207.0 188.5 coupa_0 2
3180 9 1124.0 181.5 coupa_0 2
3192 9 1050.0 179.5 coupa_0 2
3204 9 976.0 177.5 coupa_0 2
3216 9 891.0 172.5 coupa_0 2
3228 9 808.0 163.5 coupa_0 2
0 13 32.5 242.0 coupa_0 3
12 13 32.5 242.0 coupa_0 3
24 13 32.5 242.0 coupa_0 3
36 13 32.5 242.0 coupa_0 3
48 13 54.5 240.0 coupa_0 3
60 13 112.5 235.0 coupa_0 3
72 13 170.5 231.0 coupa_0 3
84 13 225.5 228.0 coupa_0 3
96 13 282.5 224.0 coupa_0 3
108 13 340.5 219.0 coupa_0 3
120 13 398.5 216.0 coupa_0 3
132 13 453.5 212.0 coupa_0 3
144 13 511.5 208.0 coupa_0 3
156 13 568.5 204.5 coupa_0 3
168 13 626.5 200.0 coupa_0 3
