frame trackId x y sceneId metaId
6504 2 17.0 893.5 bookstore_0 0
6516 2 17.0 893.5 bookstore_0 0
6528 2 17.0 893.5 bookstore_0 0
6540 2 17.0 893.5 bookstore_0 0
6552 2 17.0 893.5 bookstore_0 0
6564 2 17.0 893.5 bookstore_0 0
6576 2 17.0 893.5 bookstore_0 0
6588 2 17.0 893.5 bookstore_0 0
6600 2 17.0 893.5 bookstore_0 0
6612 2 17.0 893.5 bookstore_0 0
6624 2 17.0 893.5 bookstore_0 0
6636 2 17.0 893.5 bookstore_0 0
6648 2 17.0 893.5 bookstore_0 0
6660 2 17.0 893.5 bookstore_0 0
6672 2 17.0 893.5 bookstore_0 0
6684 2 17.0 893.5 bookstore_0 0
6696 2 17.0 893.5 bookstore_0 0
6708 2 17.0 893.5 bookstore_0 0
6720 2 17.0 893.5 bookstore_0 0
6732 2 17.0 893.5 bookstore_0 0
10008 3 1256.5 54.0 bookstore_0 1
10020 3 1256.5 54.0 bookstore_0 1
10032 3 1256.5 54.0 bookstore_0 1
10044 3 1256.5 54.0 bookstore_0 1
10056 3 1256.5 54.0 bookstore_0 1
10068 3 1256.5 54.0 bookstore_0 1
10080 3 1256.5 54.0 bookstore_0 1
10092 3 1256.5 54.0 bookstore_0 1
10104 3 1256.5 54.0 bookstore_0 1
10116 3 1256.5 54.0 bookstore_0 1
10128 3 1256.5 54.0 bookstore_0 1
10140 3 1256.5 54.0 bookstore_0 1
10152 3 1256.5 54.0 bookstore_0 1
10164 3 1256.5 54.0 bookstore_0 1
10176 3 1256.5 54.0 bookstore_0 1
10188 3 1256.5 54.0 bookstore_0 1
10200 3 1256.5 54.0 bookstore_0 1
10212 3 1256.5 54.0 bookstore_0 1
10224 3 1256.5 54.0 bookstore_0 1
10236 3 1256.5 54.0 bookstore_0 1
7008 4 26.0 32.0 bookstore_0 2
7020 4 26.0 32.0 bookstore_0 2
7032 4 25.0 30.0 bookstore_0 2
7044 4 24.0 28.0 bookstore_0 2
7056 4 23.0 28.0 bookstore_0 2
7068 4 22.0 26.0 bookstore_0 2
7080 4 22.0 26.0 bookstore_0 2
7092 4 21.0 23.0 bookstore_0 2
7104 4 20.0 21.0 bookstore_0 2
7116 4 19.0 21.0 bookstore_0 2
7128 4 19.0 19.0 bookstore_0 2
7140 4 17.5 19.0 bookstore_0 2
7152 4 17.5 17.0 bookstore_0 2
7164 4 17.5 22.0 bookstore_0 2
7176 4 17.5 42.5 bookstore_0 2
7188 4 19.0 61.0 bookstore_0 2
7200 4 23.0 79.0 bookstore_0 2
7212 4 25.0 97.0 bookstore_0 2
7224 4 27.0 115.0 bookstore_0 2
7236 4 29.0 131.0 bookstore_0 2
504 5 1407.0 417.0 bookstore_0 3
516 5 1407.0 417.0 bookstore_0 3
528 5 1407.0 417.0 bookstore_0 3
540 5 1407.0 417.0 bookstore_0 3
552 5 1407.0 417.0 bookstore_0 3
564 5 1407.0 417.0 bookstore_0 3
576 5 1407.0 417.0 bookstore_0 3
588 5 1407.0 417.0 bookstore_0 3
600 5 1407.0 417.0 bookstore_0 3
612 5 1407.0 417.0 bookstore_0 3
624 5 1407.0 417.0 bookstore_0 3
636 5 1407.0 417.0 bookstore_0 3
648 5 1407.0 417.0 bookstore_0 3
660 5 1407.0 417.0 bookstore_0 3
672 5 1407.0 417.0 bookstore_0 3
684 5 1407.0 417.0 bookstore_0 3
696 5 1407.0 417.0 bookstore_0 3
708 5 1407.0 417.0 bookstore_0 3
720 5 1407.0 417.0 bookstore_0 3
732 5 1407.0 417.0 bookstore_0 3
8508 6 30.0 1065.0 bookstore_0 4
8520 6 30.0 1065.0 bookstore_0 4
8532 6 30.0 1065.0 bookstore_0 4
8544 6 30.0 1065.0 bookstore_0 4
8556 6 30.0 1065.0 bookstore_0 4
8568 6 30.0 1065.0 bookstore_0 4
8580 6 30.0 1065.0 bookstore_0 4
8592 6 29.0 1065.0 bookstore_0 4
8604 6 29.0 1065.0 bookstore_0 4
8616 6 29.0 1065.0 bookstore_0 4
8628 6 29.0 1065.0 bookstore_0 4
8640 6 29.0 1065.0 bookstore_0 4
8652 6 29.0 1065.0 bookstore_0 4
8664 6 29.0 1065.0 bookstore_0 4
8676 6 27.0 1066.0 bookstore_0 4
8688 6 27.0 1066.0 bookstore_0 4
8700 6 27.0 1066.0 bookstore_0 4
8712 6 27.0 1066.0 bookstore_0 4
8724 6 27.0 1066.0 bookstore_0 4
8736 6 27.0 1066.0 bookstore_0 4
9000 7 1080.0 1054.5 bookstore_0 5
9012 7 1079.0 1054.5 bookstore_0 5
9024 7 1079.0 1054.5 bookstore_0 5
9036 7 1079.0 1054.5 bookstore_0 5
9048 7 1079.0 1054.5 bookstore_0 5
9060 7 1078.5 1054.5 bookstore_0 5
9072 7 1078.5 1054.5 bookstore_0 5
9084 7 1078.5 1055.5 bookstore_0 5
9096 7 1078.5 1055.5 bookstore_0 5
9108 7 1077.5 1056.5 bookstore_0 5
9120 7 1077.5 1056.5 bookstore_0 5
9132 7 1077.5 1056.5 bookstore_0 5
9144 7 1077.5 1056.5 bookstore_0 5
9156 7 1076.5 1056.5 bookstore_0 5
9168 7 1076.5 1058.0 bookstore_0 5
9180 7 1076.5 1058.0 bookstore_0 5
9192 7 1076.5 1058.0 bookstore_0 5
9204 7 1075.5 1059.5 bookstore_0 5
9216 7 1075.5 1059.5 bookstore_0 5
9228 7 1075.5 1059.5 bookstore_0 5
7500 10 16.5 20.0 bookstore_0 6
7512 10 16.5 20.0 bookstore_0 6
7524 10 16.5 20.0 bookstore_0 6
7536 10 16.5 20.0 bookstore_0 6
7548 10 16.5 20.0 bookstore_0 6
7560 10 16.5 20.0 bookstore_0 6
7572 10 16.5 20.0 bookstore_0 6
7584 10 16.5 20.0 bookstore_0 6
7596 10 16.5 20.0 bookstore_0 6
7608 10 16.5 20.0 bookstore_0 6
7620 10 16.5 20.0 bookstore_0 6
7632 10 16.5 20.0 bookstore_0 6
7644 10 16.5 20.0 bookstore_0 6
